category,name,developer,description,image,tag,rating,rating_count,install_count
CRM,GetSign - PDF Document Generation and eSign Collection,Jetpack Apps,"Generate documents, and collect legally binding electronic signatures effortlessly from your monday.com boards",https://dapulse-res.cloudinary.com/image/upload/v1695131328/monday-apps-marketplace/GetSign/GetSignIcon.png,Editor's choice,4.9,27,1.3K
CRM,Boost Gmail for monday.com,Boost Moveo LTD,Easily convert your emails into monday.com items!,https://dapulse-res.cloudinary.com/image/upload/v1692109133/monday-apps-marketplace/Boost%20Gmail%20for%20monday/v2/Gmail_logo_6.png,,4.8,45,941
CRM,Better Calendar View,SpicyTab,"It's just a better calendar view, you know?",https://dapulse-res.cloudinary.com/image/upload/v1694004447/monday-apps-marketplace/Better%20Calendar%20View/App-Icon_11.png,New,,,331
CRM,CarbonToolbelt - Formula Automations & more,CarbonWeb,"Automate Formulas, Copy Mirrors, Set Recurring Tasks, Required Columns, Auto Assign, and more!",https://dapulse-res.cloudinary.com/image/upload/v1695733347/monday-apps-marketplace/carbon%20toolbelt/CarbonToolbelt_Icon.png,New,5,14,34
CRM,SuperMail,Spot-nik,"Design automated emails with rich text, hyperlinks and attached files, directly from monday.com",https://dapulse-res.cloudinary.com/image/upload/v1688031637/monday-apps-marketplace/SuperMail/LOGO_BLUE.jpg,,5,12,1.3K
CRM,PhoneBurner,CarbonWeb,"Integrate PhoneBurner across your Work OS with a NEW Board View, 2-way Sync, Click-to-dial, and custom automations.",https://dapulse-res.cloudinary.com/image/upload/v1679837452/monday-apps-marketplace/Phone%20Burner/v2/Phoneburner_icon_-_White_bg_1_1.png,,5,10,883
CRM,CarbonRecruiting Suite,CarbonWeb,"Enhance your recruiting with customizable pipelines, client-facing dashboards, automation & more.",https://dapulse-res.cloudinary.com/image/upload/v1683042769/monday-apps-marketplace/CarbonRecruiting%20Suite/Recruiting_Suite_Icon.png,,5,7,119
CRM,Extract Updates,Jetpack Apps,"Auto-extract data from emails and updates into board items to streamline your workflows. Perfect for ticketing, and CRM.",https://dapulse-res.cloudinary.com/image/upload/v1660579714/monday-apps-marketplace/Extract/icon_4.png,,5,5,673
CRM,Aircall,Aircall,The Aircall phone enhances call efficiency and automates call logging within monday.com CRM.,https://dapulse-res.cloudinary.com/image/upload/v1625059233/monday-apps-marketplace/aircall/aircall_iconA_green_rgb_192x19x.png,,5,4,2.3K
CRM,docotive,RAYATT Australia Pty. Ltd.,"Generate your professional documents, agreements, brochures & reports from monday.com",https://dapulse-res.cloudinary.com/image/upload/v1647776093/monday-apps-marketplace/docotive/docotive-192X192_1.png,,4.7,6,1.8K
CRM,DocuGen,"DocuGen, Inc.",Create professional documents from your monday.com boards,https://dapulse-res.cloudinary.com/image/upload/v1612965214/monday-apps-marketplace/DocuGen/v3/DocuGen_V4_logo_192x192.png,Editor's choice,4.6,26,20K
CRM,CarbonCRM Suite,CarbonWeb,"Manage leads, deals, and ongoing accounts in an automated CRM powered by monday sales CRM.",https://dapulse-res.cloudinary.com/image/upload/v1697700977/monday-apps-marketplace/carbonCRM/v2/CarbonCRM_Marketplace_Icon_NEW.png,,4.4,7,556
CRM,AutoID Column,Excellent Team,AutoID Column lets you configure an auto-increment ID with a preceding text,https://dapulse-res.cloudinary.com/image/upload/v1606823716/monday-apps-marketplace/Excellent%20Team/AutoID%20Column/AutoID_Column_logo.png,,4.2,14,2.5K
CRM,Typeform,Typeform,"Easily build interactive and customized forms from your boards, and start collecting data instantly",https://dapulse-res.cloudinary.com/image/upload/v1611234929/monday-apps-marketplace/Typeform/icon%20v2/Typeform_Social_logo_192.png,,3.8,5,5.6K
